"","indicator","Indicator_Id","Indicator_Name","answer","Display_Name","Dataset","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"77","building human resources-CPIA-Total","1-CPIA-Total","IQ.CPA.HRES.XQ","Total","Building human resources ","CPIA",NA,"1 low to 6 high","1 low to 6 high","rating",4.553,"Public Sector Management","Personnel Management","Other","Building human resources ",NA,"Investment","FCS Investment Trends","Institutional Resilience","Governance","Building human resources ",NA,NA,NA,NA,NA,"CPIA1","CPIA1","GOV","1-CPIA-Total",NA
"78","business regulatory environment-CPIA-Total","2-CPIA-Total","IQ.CPA.BREG.XQ","Total","Business regulatory environment ","CPIA",NA,"1 low to 6 high","1 low to 6 high","rating",1.01,"Private Sector Interface","Regulation of entry and exit","Other","Business regulatory environment ",NA,"Investment","FCS Investment Trends","Institutional Resilience","Governance","Business regulatory environment ",NA,NA,NA,NA,NA,"CPIA2","CPIA2","GOV","2-CPIA-Total",NA
"79","economic management-CPIA-Total","4-CPIA-Total","IQ.CPA.ECON.XQ","Total","Economic management (Topic Average)","CPIA",NA,"1 low to 6 high","1 low to 6 high","average",4.038,"Public Sector Management","Administrative and Policymaking capacity","Other","Economic management (Topic Average)",NA,"Investment","FCS Investment Trends","Institutional Resilience","Governance","Economic management (Topic Average)",NA,NA,NA,NA,NA,"CPIA4","CPIA4","GOV","4-CPIA-Total",NA
"80","efficiency of revenue mobilization-CPIA-Total","5-CPIA-Total","IQ.CPA.REVN.XQ","Total","Efficiency of revenue mobilization ","CPIA",NA,"1 low to 6 high","1 low to 6 high","rating",2.05,"Public Sector Management","Public Expenditure Management","Other","Efficiency of revenue mobilization ",NA,"Investment","FCS Investment Trends","Institutional Resilience","Governance","Efficiency of revenue mobilization ",NA,NA,NA,NA,NA,"CPIA5","CPIA5","GOV","5-CPIA-Total",NA
"81","equity of public resource use-CPIA-Total","6-CPIA-Total","IQ.CPA.PRES.XQ","Total","Equity of public resource use ","CPIA",NA,"1 low to 6 high","1 low to 6 high","rating",2.06,"Public Sector Management","Public Expenditure Management","Other","Equity of public resource use ",NA,"Investment","FCS Investment Trends","Institutional Resilience","Governance","Equity of public resource use ",NA,NA,NA,NA,NA,"CPIA6","CPIA6","GOV","6-CPIA-Total",NA
"82","fiscal policy-CPIA-Total","8-CPIA-Total","IQ.CPA.FISP.XQ","Total","Fiscal policy ","CPIA",NA,"1 low to 6 high","1 low to 6 high","rating",2.07,"Public Sector Management","Public Expenditure Management","Other","Fiscal policy ",NA,"Investment","FCS Investment Trends","Institutional Resilience","Governance","Fiscal policy ",NA,NA,NA,NA,NA,"CPIA8","CPIA8","GOV","8-CPIA-Total",NA
"83","gender equality-CPIA-Total","9-CPIA-Total","IQ.CPA.GNDR.XQ","Total","Gender equality ","CPIA",NA,"1 low to 6 high","1 low to 6 high","rating",3.05,"Citizen Engagement","Civil Rights","Other","Gender equality ",NA,"Investment","FCS Investment Trends","Institutional Resilience","Governance","Gender equality ",NA,NA,NA,NA,NA,"CPIA9","CPIA9","GOV","9-CPIA-Total",NA
"84","policies for social inclusionequity-CPIA-Total","11-CPIA-Total","IQ.CPA.SOCI.XQ","Total","Policies for social inclusion/equity (Topic Average)","CPIA",NA,"1 low to 6 high","1 low to 6 high","average",4.543,"Public Sector Management","Administrative and Policymaking capacity","Other","Policies for social inclusion/equity (Topic Average)",NA,"Investment","FCS Investment Trends","Institutional Resilience","Governance","Policies for social inclusion/equity (Topic Average)",NA,NA,NA,NA,NA,"CPIA11","CPIA11","GOV","11-CPIA-Total",NA
"85","policy and institutions for environmental sustainability-CPIA-Total","12-CPIA-Total","IQ.CPA.ENVR.XQ","Total","Policy and institutions for environmental sustainability ","CPIA",NA,"1 low to 6 high","1 low to 6 high","rating",4.094,"Public Sector Management","Administrative and Policymaking capacity","Other","Policy and institutions for environmental sustainability ",NA,"Investment","FCS Investment Trends","Institutional Resilience","Governance","Policy and institutions for environmental sustainability ",NA,NA,NA,NA,NA,"CPIA12","CPIA12","GOV","12-CPIA-Total",NA
"86","property rights and rulebased governance-CPIA-Total","13-CPIA-Total","IQ.CPA.PROP.XQ","Total","Property rights and rule-based governance","CPIA",NA,"1 low to 6 high","1 low to 6 high","rating",2.07,"Private Sector Interface","Property rights and contracts","Other","Property rights and rule-based governance¥Ë_",NA,"Investment","FCS Investment Trends","Institutional Resilience","Governance","Property rights and rule-based governance¥Ë_",NA,NA,NA,NA,NA,"CPIA13","CPIA13","GOV","13-CPIA-Total",NA
"87","public sector management and institutions-CPIA-Total","14-CPIA-Total","IQ.CPA.PUBS.XQ","Total","Public sector management and institutions (Topic Average)","CPIA",NA,"1 low to 6 high","1 low to 6 high","average",2.08,"Public Sector Management","Personnel Management","Other","Public sector management and institutions (Topic Average)",NA,"Investment","FCS Investment Trends","Institutional Resilience","Governance","Public sector management and institutions (Topic Average)",NA,NA,NA,NA,NA,"CPIA14","CPIA14","GOV","14-CPIA-Total",NA
"88","quality of budgetary and financial management-CPIA-Total","15-CPIA-Total","IQ.CPA.FINQ.XQ","Total","Quality of budgetary and financial management ","CPIA",NA,"1 low to 6 high","1 low to 6 high","rating",2.09,"Public Sector Management","Public Expenditure Management","Other","Quality of budgetary and financial management ",NA,"Investment","FCS Investment Trends","Institutional Resilience","Governance","Quality of budgetary and financial management ",NA,NA,NA,NA,NA,"CPIA15","CPIA15","GOV","15-CPIA-Total",NA
"89","quality of public administration-CPIA-Total","16-CPIA-Total","IQ.CPA.PADM.XQ","Total","Quality of public administration ","CPIA",NA,"1 low to 6 high","1 low to 6 high","rating",4.523,"Public Sector Management","Personnel Management","Other","Quality of public administration ",NA,"Investment","FCS Investment Trends","Institutional Resilience","Governance","Quality of public administration ",NA,NA,NA,NA,NA,"CPIA16","CPIA16","GOV","16-CPIA-Total",NA
"90","social protection-CPIA-Total","17-CPIA-Total","IQ.CPA.PROT.XQ","Total","Social protection and labor","CPIA",NA,"1 low to 6 high","1 low to 6 high","rating",4.277,"Public Sector Management","Administrative and Policymaking capacity","Other","Social protection and labor",NA,"Investment","FCS Investment Trends","Institutional Resilience","Governance","Social protection and labor",NA,NA,NA,NA,NA,"CPIA17","CPIA17","GOV","17-CPIA-Total",NA
"91","structural policies-CPIA-Total","18-CPIA-Total","IQ.CPA.STRC.XQ","Total","Structural policies (Topic Average)","CPIA",NA,"1 low to 6 high","1 low to 6 high","average",4.495,"Public Sector Management","Administrative and Policymaking capacity","Other","Structural policies (Topic Average)",NA,"Investment","FCS Investment Trends","Institutional Resilience","Governance","Structural policies (Topic Average)",NA,NA,NA,NA,NA,"CPIA18","CPIA18","GOV","18-CPIA-Total",NA
"92","transparency accountability and corruption in the public sector-CPIA-Total","20-CPIA-Total","IQ.CPA.TRAN.XQ","Total","Transparency accountability and corruption in the public sector ","CPIA",NA,"1 low to 6 high","1 low to 6 high","rating",2.01,"Absence of Corruption","Perception","Other","Transparency accountability and corruption in the public sector ",NA,"Investment","FCS Investment Trends","Institutional Resilience","Governance","Transparency accountability and corruption in the public sector ",NA,NA,NA,NA,NA,"CPIA20","CPIA20","GOV","20-CPIA-Total",NA
"93","Electoral Democracies-FH-Total","1-FH-Total","Electoral Democracies","Total","Electoral Democracies","FH",NA,"1 Yes 0 No","1 Yes 0 No","Index",4.087,"Political Accountability","Elections","Other","Electoral Democracies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FH3",NA,"GOV","1-FH-Total",NA
"94","Accountability-GCI-Rank","58-GCI-Rank","2. Accountability","Rank","Accountability","GCI",NA,"Rank","Rank","Value",4.054,"Private Sector Interface","Corporate Governance","Other","Accountability",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI49.1","28946","GOV","58-GCI-Rank",NA
"95","Accountability-GCI-Value","57-GCI-Value","2. Accountability","Value","Accountability","GCI",NA,"Value","Value","Index",4.054,"Private Sector Interface","Corporate Governance","Other","Accountability",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI49.2","GCI49","GOV","57-GCI-Value",NA
"96","Availability of research and training services-GCI-Rank","144-GCI-Rank","Availability of research and training services, 1-7 (best)","Rank","Availability of research and training services","GCI",NA,"Rank","Rank","Value",4.301,"Public Sector Management","Service Delivery","Other","Availability of research and training services",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI88.1","28968","GOV","144-GCI-Rank",NA
"97","Availability of research and training services-GCI-Value","143-GCI-Value","Availability of research and training services, 1-7 (best)","Value","Availability of research and training services","GCI",NA,"1-7 Best","1-7 Best","Index",4.301,"Public Sector Management","Service Delivery","Other","Availability of research and training services",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI88.2","GCI88","GOV","143-GCI-Value",NA
"98","Basic requirements-GCI-Rank","126-GCI-Rank","Basic requirements","Rank","Basic requirements","GCI",NA,"Rank","Rank","Value",4.008,"General Governance","Overall Governance","Other","Basic requirements",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI154.1","28936","GOV","126-GCI-Rank",NA
"99","Basic requirements-GCI-Value","125-GCI-Value","Basic requirements","Value","Basic requirements","GCI",NA,"Value","Value","Index",4.008,"General Governance","Overall Governance","Other","Basic requirements",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI154.2","GCI154","GOV","125-GCI-Value",NA
"100","Corporate ethics-GCI-Rank","48-GCI-Rank","1. Corporate ethics","Rank","Corporate ethics","GCI",NA,"Rank","Rank","Value",4.377,"Private Sector Interface","Corporate Governance","Other","Corporate ethics",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI1.1","28912","GOV","48-GCI-Rank",NA
"101","Corporate ethics-GCI-Value","47-GCI-Value","1. Corporate ethics","Value","Corporate ethics","GCI",NA,"Value","Value","Index",4.377,"Private Sector Interface","Corporate Governance","Other","Corporate ethics",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI1.2","GCI1","GOV","47-GCI-Value",NA
"102","Country credit rating-GCI-Rank","96-GCI-Rank","Country credit rating, 0–100 (best)*","Rank","Country credit rating","GCI",NA,"Rank","Rank","Value",4.018,"General Governance","Overall Governance","Other","Country credit rating",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI67","GCI67","GOV","96-GCI-Rank",NA
"103","Domestic competition-GCI-Rank","168-GCI-Rank","1. Domestic competition ","Rank","Domestic competition","GCI",NA,"Rank","Rank","Value",4.016,"Private Sector Interface","Regulation of entry and exit","Other","Domestic competition",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI2.1","28942","GOV","168-GCI-Rank",NA
"104","Domestic competition-GCI-Value","167-GCI-Value","1. Domestic competition ","Value","Domestic competition","GCI",NA,"Value","Value","Index",4.016,"Private Sector Interface","Regulation of entry and exit","Other","Domestic competition",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI2.2","GCI2","GOV","167-GCI-Value",NA
"105","Electricity and telephony infrastructure-GCI-Rank","84-GCI-Rank","B. Electricity and telephony infrastructure","Rank","Electricity and telephony infrastructure","GCI",NA,"Rank","Rank","Value",4.594,"Public Sector Management","Service Delivery","Other","Electricity and telephony infrastructure",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI146.1","28926","GOV","84-GCI-Rank",NA
"106","Electricity and telephony infrastructure-GCI-Value","83-GCI-Value","B. Electricity and telephony infrastructure","Value","Electricity and telephony infrastructure","GCI",NA,"Value","Value","Index",4.594,"Public Sector Management","Service Delivery","Other","Electricity and telephony infrastructure",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI146.2","GCI146","GOV","83-GCI-Value",NA
"107","Ethics and corruption-GCI-Rank","14-GCI-Rank","2. Ethics and corruption","Rank","Ethics and corruption","GCI",NA,"Rank","Rank","Value",2.03,"Absence of Corruption","Perception","Other","Ethics and corruption",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI50.1","28948","GOV","14-GCI-Rank",NA
"108","Ethics and corruption-GCI-Value","13-GCI-Value","2. Ethics and corruption","Value","Ethics and corruption","GCI",NA,"Value","Value","Index",2.03,"Absence of Corruption","Perception","Other","Ethics and corruption",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI50.2","GCI50","GOV","13-GCI-Value",NA
"109","Firm level technology absorption-GCI-Rank","244-GCI-Rank","Firm-level technology absorption, 1-7 (best)","Rank","Firmlevel technology absorption","GCI",NA,"Rank","Rank","Value",4.25,"Public Sector Management","Innovation","Other","Firmlevel technology absorption",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI129.1","28914","GOV","244-GCI-Rank",NA
"110","Firm level technology absorption-GCI-Value","243-GCI-Value","Firm-level technology absorption, 1-7 (best)","Value","Firmlevel technology absorption","GCI",NA,"1-7 Best","1-7 Best","Index",4.25,"Public Sector Management","Innovation","Other","Firmlevel technology absorption",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI129.2","GCI129","GOV","243-GCI-Value",NA
