"","Indicator_Id","X.1","Dataset","X","indicator","Indicator_Name","answer","Display_Name","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description","n_Countries","n_years","min_year","max_year"
"47","102-IPU-Number.of.women.parliamentarians",3492,"IPU",1630,"legislative assembly unicameral-IPU-Number.of.women.parliamentarians","Legislative Assembly Unicameral","Number.of.women.parliamentarians","Legislative Assembly Unicameral",NA,"Number of women parliamentarians","Number of women parliamentarians","Value",5.185,"Checks and Balances","Legislative System","Other","Legislative Assembly Unicameral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPU42.2","31942","GOV","102-IPU-Number.of.women.parliamentarians","The primary source of data is parliaments themselves. Every IPU member parliament has a correspondent who is responsible for providing information on changes and updates to the IPU Secretariat. Additional information is gathered from other sources, including national electoral commissions and the media, and is regularly cross-checked with parliament.",3,1,2018,2018
"48","102-PEFA-Total",3872,"PEFA",2043,"financial information provided by donors for budgeting and reporting on project and program aid-PEFA-Total","financial information provided by donors for budgeting and reporting on project and program aid","Total","Financial information provided by donors for budgeting and reporting on project and program aid",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.1,"Public Sector Management","Public Expenditure Management","Other","Financial information provided by donors for budgeting and reporting on project and program aid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA13","PEFA13","GOV","102-PEFA-Total","PEFA includes 31 performance indicators across the broad array of PFM activities performed by governments. The indicators are grouped under the seven pillars. Each pillar comprises a group of indicators that capture the performance of the key systems, processes, and institutions of government.",79,11,2005,2015
"49","1020-IPD-a1064",3310,"IPD",1430,"the capacity of the political authorities to maintain a feeling of national pride-IPD-a1064","A1064","A1064","The capacity of the political authorities to maintain a feeling of national pride",NA,"A1064","A1064","Index",4.036,"Trust","Trust in Government","Other","The capacity of the political authorities to maintain a feeling of national pride",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD929",NA,"GOV","1020-IPD-a1064","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",120,1,2009,2009
"50","1021-IPD-a1070",2150,"IPD",270,"are the municipal authorities elected or appointed by central government-IPD-a1070","A1070","A1070","Are the municipal authorities elected or appointed by central government?",NA,"A1070","A1070","Index",4.449,"Public Sector Management","Decentralization","Other","Are the municipal authorities elected or appointed by central government?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD47.2",NA,"GOV","1021-IPD-a1070","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",120,1,2009,2009
"51","1022-IPD-a1071",2152,"IPD",272,"are the other local authorities state in the case of federations regions provinces etc elected or appointed by central government-IPD-a1071","A1071","A1071","Are the other local authorities (State in the case of federations, Regions, Provinces, etc.) elected or appointed by central government?",NA,"A1071","A1071","Index",4.822,"Public Sector Management","Decentralization","Other","Are the other local authorities (State in the case of federations Regions Provinces etc.) elected or appointed by central government?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD49",NA,"GOV","1022-IPD-a1071","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",120,1,2009,2009
"52","1023-IPD-a1080",2510,"IPD",630,"extent of municipal authorities autonomy in fiscal matters-IPD-a1080","A1080","A1080","Extent of municipal authorities autonomy in fiscal matters",NA,"A1080","A1080","Index",4.655,"Public Sector Management","Decentralization","Other","Extent of municipal authorities autonomy in fiscal matters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD323",NA,"GOV","1023-IPD-a1080","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",120,1,2009,2009
"53","1024-IPD-a1081",2512,"IPD",632,"extent of other local authorities autonomy in fiscal matters state in the case of federations regions provinces etc-IPD-a1081","A1081","A1081","Extent of other local authorities autonomy in fiscal matters (State in the case of federations, Regions, Provinces, etc)",NA,"A1081","A1081","Index",4.874,"Public Sector Management","Decentralization","Other","Extent of other local authorities autonomy in fiscal matters (State in the case of federations Regions Provinces etc)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD325",NA,"GOV","1024-IPD-a1081","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",120,1,2009,2009
"54","1025-IPD-a1082",2511,"IPD",631,"extent of municipal authorities decisionmaking autonomy in the supply of basic services water sanitation education healthcare etc-IPD-a1082","A1082","A1082","Extent of municipal authorities decisionmaking autonomy in the supply of basic services (water, sanitation, education, healthcare, etc.)",NA,"A1082","A1082","Index",4.249,"Public Sector Management","Decentralization","Other","Extent of municipal authorities decisionmaking autonomy in the supply of basic services (water sanitation education healthcare etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD324",NA,"GOV","1025-IPD-a1082","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",120,1,2009,2009
"55","1026-IPD-a1083",2513,"IPD",633,"extent of other local authorities decisionmaking autonomy state for federations regions provinces etc in the supply of basic services water sanitation education healthcare etc-IPD-a1083","A1083","A1083","Extent of other local authorities decisionmaking autonomy (State for federations, Regions, Provinces, etc.) in the supply of basic services (water, sanitation, education, healthcare, etc.)",NA,"A1083","A1083","Index",4.937,"Public Sector Management","Decentralization","Other","Extent of other local authorities decisionmaking autonomy (State for federations Regions Provinces etc.) in the supply of basic services (water sanitation education healthcare etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD326",NA,"GOV","1026-IPD-a1083","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",120,1,2009,2009
"56","1027-IPD-a2001",2471,"IPD",591,"ethnic religious regional or other types of conflicts-IPD-a2001","A2001","A2001","Ethnic, religious, regional or other types of conflicts",NA,"A2001","A2001","Index",4.057,"Security","Violent conflict","Other","Ethnic religious regional or other types of conflicts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD287",NA,"GOV","1027-IPD-a2001","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",120,1,2009,2009
"57","1028-IPD-a2002",3361,"IPD",1481,"violent actions by underground political organisations-IPD-a2002","A2002","A2002","Violent actions by underground political organisations",NA,"A2002","A2002","Index",4.059,"Security","Crime","Other","Violent actions by underground political organisations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD964",NA,"GOV","1028-IPD-a2002","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",120,3,2001,2009
"58","1029-IPD-a2003",2897,"IPD",1017,"organised criminal activity drugtrafficking armstrafficking etc-IPD-a2003","A2003","A2003","Organised criminal activity (drugtrafficking, armstrafficking, etc.",NA,"A2003","A2003","Index",4.021,"Security","Crime","Other","Organised criminal activity (drugtrafficking armstrafficking etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD623",NA,"GOV","1029-IPD-a2003","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",120,3,2001,2009
"59","103-IPD-b6090",2943,"IPD",1063,"pressure on land rural areas-IPD-b6090","B6090","B6090","Pressure on land: rural areas",NA,"B6090","B6090","Index",4.232,"Fairness and equity","Land issues","Other","Pressure on land: rural areas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD663",NA,"GOV","103-IPD-b6090","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"60","103-PEFA-Total",3841,"PEFA",2012,"completeness and timeliness of budget estimates by donors for project support-PEFA-Total","completeness and timeliness of budget estimates by donors for project support","Total","Completeness and timeliness of budget estimates by donors for project support",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.886,"Public Sector Management","Public Expenditure Management","Other","Completeness and timeliness of budget estimates by donors for project support (i)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA39","PEFA39","GOV","103-PEFA-Total","PEFA includes 31 performance indicators across the broad array of PFM activities performed by governments. The indicators are grouped under the seven pillars. Each pillar comprises a group of indicators that capture the performance of the key systems, processes, and institutions of government.",77,11,2005,2015
"61","103-SGI-Total",4119,"SGI",1769,"domestic adaptability-SGI-Total"," Domestic Adaptability","Total"," Domestic Adaptability",NA,"Total","Total","Value",5.098,"Public Sector Management","Administrative and Policymaking capacity","Other","Domestic Adaptability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SGI27","SGI27","GOV","103-SGI-Total","The Sustainable Governance Indicators (SGI) draw on established survey and aggregation methods. In order to ensure the proper operationalization of the individual index components, the SGI relies on a combination of qualitative and quantitative data.",40,4,2014,2017
